,region_id,region_type,zip_code,state,county,city,metro,indicator_id,date,value
0,99999,zip,98847,WA,Chelan County,Peshastin,Wenatchee,ZSFH,2022-02-28,557036.0
1,99998,zip,98846,WA,Pateros,,Okanogan County,ZSFH,2022-01-31,538969.0
2,99997,zip,98845,WA,Douglas County,Palisades,Wenatchee,ZSFH,2021-12-31,523382.0
3,99996,zip,98844,WA,Oroville,,Okanogan County,ZSFH,2021-11-30,510814.0
4,99995,zip,98843,WA,Douglas County,Orondo,Wenatchee,ZSFH,2021-10-31,500405.0
5,99994,zip,98841,WA,Omak,,Okanogan County,ZSFH,2021-09-30,490138.0
6,99993,zip,98840,WA,Okanogan,,Okanogan County,ZSFH,2021-08-31,481274.0
7,99992,zip,98837,WA,Grant County,,Moses Lake,ZSFH,2021-07-31,436966.0
8,99991,zip,98836,WA,Chelan County,,Wenatchee,ZSFH,2021-06-30,427245.0
9,99990,zip,98834,WA,Methow,,Okanogan County,ZSFH,2021-05-31,416609.0
10,9999,city,Carrsville,VA,Isle of Wight County,,Virginia Beach-Norfolk-Newport News,ZSFH,2021-04-30,406712.0
11,99989,zip,98833,WA,Mazama,,Okanogan County,ZSFH,2021-03-31,397664.0
12,99988,zip,98832,WA,Grant County,Krupp,Moses Lake,ZSFH,2021-02-28,385100.0
13,99987,zip,98831,WA,Chelan County,Manson,Wenatchee,ZSFH,2021-01-31,385350.0
14,99986,zip,98830,WA,Douglas County,Mansfield,Wenatchee,ZSFH,2020-12-31,383270.0
15,99985,zip,98829,WA,Okanogan,,Okanogan County,ZSFH,2020-11-30,378566.0
16,99984,zip,98828,WA,Chelan County,Malaga,Wenatchee,ZSFH,2020-10-31,375825.0
17,99983,zip,98827,WA,Loomis,,Okanogan County,ZSFH,2020-09-30,369733.0
18,99982,zip,98826,WA,Chelan County,Leavenworth,Wenatchee,ZSFH,2020-08-31,366760.0
19,99980,zip,98823,WA,Grant County,Ephrata,Moses Lake,ZSFH,2020-07-31,336538.0
20,9998,city,Birchleaf,VA,Dickenson County,,Big Stone Gap,ZSFH,2020-06-30,367111.0
21,99979,zip,98822,WA,Chelan County,Entiat,Wenatchee,ZSFH,2020-05-31,360642.0
22,99978,zip,98821,WA,Chelan County,Cashmere,Wenatchee,ZSFH,2020-04-30,358251.0
23,99977,zip,98819,WA,Omak,,Okanogan County,ZSFH,2020-03-31,357318.0
24,99976,zip,98817,WA,Chelan County,Chelan Falls,Wenatchee,ZSFH,2020-02-29,356443.0
25,99975,zip,98816,WA,Chelan County,Chelan,Wenatchee,ZSFH,2020-01-31,355387.0
26,99974,zip,98815,WA,Chelan County,Cashmere,Wenatchee,ZSFH,2019-12-31,353666.0
27,99973,zip,98814,WA,Carlton,,Okanogan County,ZSFH,2019-11-30,352571.0
28,99972,zip,98813,WA,Douglas County,Bridgeport,Wenatchee,ZSFH,2019-10-31,352992.0
29,99971,zip,98812,WA,Brewster,,Okanogan County,ZSFH,2019-09-30,354149.0
30,99970,zip,98811,WA,Chelan County,Entiat,Wenatchee,ZSFH,2019-08-31,353614.0
31,99968,zip,98802,WA,Douglas County,East Wenatchee Bench,Wenatchee,ZSFH,2019-07-31,352034.0
32,99967,zip,98801,WA,Chelan County,,Wenatchee,ZSFH,2019-06-30,349236.0
33,99965,zip,98686,WA,Clark County,Vancouver,Portland-Vancouver-Hillsboro,ZSFH,2019-05-31,345969.0
34,99964,zip,98685,WA,Clark County,Vancouver,Portland-Vancouver-Hillsboro,ZSFH,2019-04-30,343825.0
35,99963,zip,98684,WA,Clark County,Vancouver,Portland-Vancouver-Hillsboro,ZSFH,2019-03-31,341602.0
36,99962,zip,98683,,,,,ZSFH,2019-02-28,338734.0
37,99961,zip,98682,,,,,ZSFH,2019-01-31,336343.0
38,99960,zip,98675,WA,Clark County,Yacolt,Portland-Vancouver-Hillsboro,ZSFH,2018-12-31,334728.0
39,99959,zip,98674,WA,Cowlitz County,Woodland,Longview,ZSFH,2018-11-30,333069.0
40,99958,zip,98673,WA,Centerville,,Klickitat County,ZSFH,2018-10-31,328005.0
41,99957,zip,98672,WA,White Salmon,,Klickitat County,ZSFH,2018-09-30,322212.0
42,99956,zip,98671,WA,Clark County,Washougal,Portland-Vancouver-Hillsboro,ZSFH,2018-08-31,317946.0
43,99955,zip,98670,WA,Wahkiacus,,Klickitat County,ZSFH,2018-07-31,315862.0
44,99951,zip,98665,WA,Clark County,Vancouver,Portland-Vancouver-Hillsboro,ZSFH,2018-06-30,315556.0
45,99950,zip,98664,WA,Clark County,Vancouver,Portland-Vancouver-Hillsboro,ZSFH,2018-05-31,314513.0
46,99949,zip,98663,WA,Clark County,Vancouver,Portland-Vancouver-Hillsboro,ZSFH,2018-04-30,312432.0
47,99948,zip,98662,WA,Clark County,Vancouver,Portland-Vancouver-Hillsboro,ZSFH,2018-03-31,310271.0
48,99947,zip,98661,,,,,ZSFH,2018-02-28,308078.0
49,99946,zip,98660,WA,Clark County,Vancouver,Portland-Vancouver-Hillsboro,ZSFH,2018-01-31,305116.0
50,99945,zip,98651,WA,Skamania County,Underwood,Portland-Vancouver-Hillsboro,ZSFH,2017-12-31,301787.0
51,99944,zip,98650,WA,Trout Lake,,Klickitat County,ZSFH,2017-11-30,297928.0
52,99943,zip,98649,WA,Cowlitz County,Toutle,Longview,ZSFH,2017-10-31,296417.0
53,99942,zip,98648,WA,Skamania County,Stevenson,Portland-Vancouver-Hillsboro,ZSFH,2017-09-30,294639.0
54,99941,zip,98647,WA,Skamokawa,,Wahkiakum County,ZSFH,2017-08-31,294099.0
55,99940,zip,98645,WA,Cowlitz County,Silverlake,Longview,ZSFH,2017-07-31,292625.0
56,9994,city,Wright,KS,Ford County,,Dodge City,ZSFH,2017-06-30,290985.0
57,99939,zip,98644,WA,Ilwaco,,Pacific County,ZSFH,2017-05-31,290189.0
58,99938,zip,98643,WA,Rosburg,,Wahkiakum County,ZSFH,2017-04-30,289255.0
59,99937,zip,98642,WA,Clark County,Ridgefield,Portland-Vancouver-Hillsboro,ZSFH,2017-03-31,287241.0
60,99936,zip,98641,WA,Ocean Park,,Pacific County,ZSFH,2017-02-28,286689.0
61,99935,zip,98640,WA,Ocean Park,,Pacific County,ZSFH,2017-01-31,286667.0
62,99934,zip,98639,WA,Skamania County,North Bonneville,Portland-Vancouver-Hillsboro,ZSFH,2016-12-31,287447.0
63,99933,zip,98638,WA,Naselle,,Pacific County,ZSFH,2016-11-30,286670.0
64,99931,zip,98635,WA,Lyle,,Klickitat County,ZSFH,2016-10-31,285541.0
65,99930,zip,98632,WA,Cowlitz County,,Longview,ZSFH,2016-09-30,284428.0
66,99929,zip,98631,WA,Long Beach,,Pacific County,ZSFH,2016-08-31,282233.0
67,99928,zip,98629,WA,Clark County,La Center,Portland-Vancouver-Hillsboro,ZSFH,2016-07-31,280099.0
68,99927,zip,98628,WA,Lyle,,Klickitat County,ZSFH,2016-06-30,277782.0
69,99926,zip,98626,WA,Cowlitz County,Kelso,Longview,ZSFH,2016-05-31,274995.0
70,99925,zip,98625,WA,Cowlitz County,Kalama,Longview,ZSFH,2016-04-30,272832.0
71,99924,zip,98624,WA,Ilwaco,,Pacific County,ZSFH,2016-03-31,271977.0
72,99923,zip,98623,WA,White Salmon,,Klickitat County,ZSFH,2016-02-29,270498.0
73,99921,zip,98621,WA,Grays River,,Wahkiakum County,ZSFH,2016-01-31,268094.0
74,99920,zip,98620,WA,Goldendale,,Klickitat County,ZSFH,2015-12-31,264781.0
75,99919,zip,98619,WA,Glenwood,,Klickitat County,ZSFH,2015-11-30,262948.0
76,99918,zip,98617,WA,Dallesport,,Klickitat County,ZSFH,2015-10-31,261926.0
77,99917,zip,98616,WA,Cowlitz County,Cougar,Longview,ZSFH,2015-09-30,261021.0
78,99916,zip,98614,WA,Chinook,,Pacific County,ZSFH,2015-08-31,260117.0
79,99915,zip,98613,WA,Centerville,,Klickitat County,ZSFH,2015-07-31,259096.0
80,99914,zip,98612,WA,Cathlamet,,Wahkiakum County,ZSFH,2015-06-30,258657.0
81,99913,zip,98611,WA,Cowlitz County,Castle Rock,Longview,ZSFH,2015-05-31,258654.0
82,99912,zip,98610,WA,Skamania County,Carson,Portland-Vancouver-Hillsboro,ZSFH,2015-04-30,258328.0
83,99911,zip,98609,WA,Cowlitz County,Kelso,Longview,ZSFH,2015-03-31,257879.0
84,99910,zip,98607,WA,Clark County,Camas,Portland-Vancouver-Hillsboro,ZSFH,2015-02-28,257248.0
85,99909,zip,98606,WA,Clark County,Brush Prairie,Portland-Vancouver-Hillsboro,ZSFH,2015-01-31,257084.0
86,99908,zip,98605,WA,Skamania County,Bingen,Portland-Vancouver-Hillsboro,ZSFH,2014-12-31,256120.0
87,99907,zip,98604,WA,Clark County,Battle Ground,Portland-Vancouver-Hillsboro,ZSFH,2014-11-30,254399.0
88,99906,zip,98603,WA,Cowlitz County,Ariel,Longview,ZSFH,2014-10-31,251569.0
